Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta,Event,Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta,Event,Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta
4406250.0,1718750.0,4687500.0,789063.0,304688.0,3578125.0,"Relaxed,  Eyes Open",-1083767.6,-787535.6,-995965.4,96804.5,-73064.3,2568024.9,"Relaxed,  Eyes Open",-0.067397245,-0.046492375,-0.069189923,0.090848961,-0.177637704,0.24139343
3617188.0,1859375.0,8039063.0,867188.0,414063.0,4515625.0,,-1872829.6,-646910.6,2355597.6,174929.5,36310.7,3505524.9,,-0.116467363,-0.038190541,0.163643856,0.164167593,0.088280487,0.329518099
5281250.0,2101563.0,8710938.0,820313.0,195313.0,6023438.0,,-208767.6,-404722.6,3027472.6,128054.5,-182439.3,5013337.9,,-0.012982822,-0.023892907,0.210319152,0.120176413,-0.443555895,0.471251988
3000000.0,1515625.0,3734375.0,1304688.0,265625.0,1859375.0,,-2490017.6,-990660.6,-1949090.4,612429.5,-112127.3,849274.9,,-0.154848996,-0.058483914,-0.135403715,0.574751933,-0.272609702,0.079831538
3828125.0,1062500.0,5445313.0,710938.0,179688.0,2437500.0,,-1661892.6,-1443785.6,-238152.4,18679.5,-198064.3,1427399.9,,-0.103349632,-0.085234269,-0.016544496,0.017530328,-0.481544208,0.134175084
4734375.0,2296875.0,5484375.0,1078125.0,367188.0,3062500.0,,-755642.6,-209410.6,-199090.4,385866.5,-10564.3,2052399.9,,-0.046991836,-0.012362611,-0.013830851,0.36212743,-0.025684452,0.192924863
4476563.0,1507813.0,7867188.0,789063.0,250000.0,3218750.0,,-1013454.6,-998472.6,2183722.6,96804.5,-127752.3,2208649.9,,-0.063024626,-0.058945097,0.151703664,0.090848961,-0.310598015,0.207612308
5460938.0,1765625.0,5101563.0,812500.0,242188.0,4710938.0,,-29079.6,-740660.6,-581902.4,120241.5,-135564.3,3700837.9,,-0.0018084,-0.043725097,-0.04042488,0.112844081,-0.329590956,0.347877452
8742188.0,9039063.0,6132813.0,687500.0,343750.0,3085938.0,,3252170.4,6532777.4,449347.6,-4758.5,-34002.3,2075837.9,,0.202245687,0.385664256,0.031216272,-0.004465731,-0.082668137,0.195128026
5835938.0,2968750.0,3398438.0,843750.0,234375.0,4718750.0,,345920.4,462464.4,-2285027.4,151491.5,-143377.3,3708649.9,,0.021512067,0.027301708,-0.158741329,0.142171534,-0.348586328,0.348611777
3953125.0,2875000.0,5601563.0,601563.0,304688.0,6906250.0,,-1536892.6,368714.4,-81902.4,-90695.5,-73064.3,5896149.9,,-0.095576143,0.021767152,-0.005689776,-0.085115757,-0.177637704,0.554236004
5078125.0,3812500.0,4679688.0,578125.0,234375.0,3257813.0,,-411892.6,1306214.4,-1003777.4,-114133.5,-143377.3,2247712.9,,-0.025614741,0.077112715,-0.069732624,-0.107111816,-0.348586328,0.211284216
4414063.0,3273438.0,3484375.0,492188.0,218750.0,2835938.0,,-1075954.6,767152.4,-2199090.4,-200070.5,-159002.3,1825837.9,,-0.066911371,0.045289046,-0.152771267,-0.187761842,-0.386574641,0.171628115
2843750.0,2640625.0,6296875.0,812500.0,257813.0,2070313.0,,-2646267.6,134339.4,613409.6,120241.5,-119939.3,1060212.9,,-0.164565858,0.007930762,0.042613693,0.112844081,-0.291602643,0.099659635
2843750.0,2000000.0,3867188.0,781250.0,343750.0,3640625.0,,-2646267.6,-506285.6,-1816277.4,88991.5,-34002.3,2630524.9,,-0.164565858,-0.029888706,-0.126177168,0.083516628,-0.082668137,0.247268408
5921875.0,2109375.0,4921875.0,687500.0,281250.0,2273438.0,,431857.4,-396910.6,-761590.4,-4758.5,-96502.3,1263337.9,,0.02685631,-0.023431724,-0.052907843,-0.004465731,-0.234621389,0.118753314
4382813.0,2742188.0,5437500.0,695313.0,250000.0,2570313.0,,-1107204.6,235902.4,-245965.4,3054.5,-127752.3,1560212.9,,-0.068854743,0.01392656,-0.017087267,0.002866602,-0.310598015,0.146659459
4164063.0,2093750.0,3906250.0,570313.0,328125.0,2125000.0,,-1325954.6,-412535.6,-1777215.4,-121945.5,-49627.3,1114899.9,,-0.082458349,-0.02435415,-0.123463523,-0.11444321,-0.12065645,0.104800194
17085938.0,8101563.0,20078125.0,1000000.0,460938.0,3000000.0,,11595920.4,5595277.4,14394659.6,307741.5,83185.7,1989899.9,,0.721126081,0.330318693,1,0.288808798,0.202245426,0.187049885
